Frances Hodgson Burnett, Tajemniczy ogrod;
Jan Brzechwa, Akademia Pana Kleksa;
Carlo Collodi, Pinokio;
Roald Dahl, Charlie i fabryka czekolady;
Antonina Domanska, Historia zoltej cizemki;
Irena Jurgielewiczowi, Ten obcy;
Stanislaw Lem, Bajki robotow;
Clive Staples Lewis Lew, Czarownica i stara szafa;
Astrid Lindgren, Bracia Lwie Serce;
Kornel Makuszynski, Szatan z siodmej klasy;
Aleksander Minkowski, Dolina Swiatla;
Ferenc Molnar, Chlopcy z Placu Broni;
Lucy Maud Montgomery, Ania z Zielonego Wzgorza;
Joanna Olech, Dynastia Miziolkow;
Rene Goscinny, Jean-Jacques Sempe, Mikolajek;
Henryk Sienkiewicz, W pustyni i w puszczy;
Dorota Terakowska, Wladca Lewawu;
Mark Twain, Przygody Tomka Sawyera;
John Ronald Reuel Tolkien, Hobbit, czyli tam i z powrotem;
Juliusz Verne, W 80 dni dookola swiata;
Moony Wicher, Dziewczynka z szostego ksiezyca;
Aleksander Fredro, Zemsta;
William Szekspir, Romeo i Julia;
Molier, Swietoszek lub Skapiec;
Juliusz Slowacki, Balladyna;
Miron Bialoszewski, Pamietnik z powstania warszawskiego;
Dante Alighieri, Boska Komedia;
Johann Wolfgang von Goethe, Faust;
Franz Kafka, Proces;
Michail Bulhakow, Mistrz i Malgorzata;
Henryk Rzewuski, Pamiatki Soplicy;
Hanna Malewska, Sir Tomasz More odmawia;
Wieslaw Mysliwski, Kamien na kamieniu lub Antoni Libera - Madame;
Swiety Augustyn, Wyznania;
